PLACEKEY,LATITUDE,LONGITUDE,TOP_CATEGORY,CITY,REGION,POSTAL_CODE,STREET_ADDRESS,RAW_VISIT_COUNTS,RAW_VISITOR_COUNTS,IS_SYNTHETIC,WKT_AREA_SQ_METERS,ISO_COUNTRY_CODE,NORMALIZED_VISITS_BY_STATE_SCALING,NORMALIZED_VISITS_BY_REGION_NAICS_VISITS,NORMALIZED_VISITS_BY_REGION_NAICS_VISITORS,NORMALIZED_VISITS_BY_TOTAL_VISITS,NORMALIZED_VISITS_BY_TOTAL_VISITORS
223-222@8gk-wcf-4qf,33.552099,-86.268994,"Justice, Public Order, and Safety Activities",Pell City,AL,35128,2710 J T Morton Dr,19.0,11.0,False,261.0,US,237.0,0.009941485201,0.01052748359,6.759949686e-06,5.926373855e-05
222-222@8gm-znm-dgk,32.374481,-86.297551,Administration of Economic Programs,Montgomery,AL,36104,301 S Ripley St,1314.0,725.0,False,10584.0,US,16155.0,0.6572809297,0.7904227432,0.0004529138842,0.003960515837
zzw-223@8gn-7gh-8gk,33.240921,-87.592315,Administration of Economic Programs,Northport,AL,35476,3500 McFarland Blvd,36.0,30.0,False,3497.0,US,446.0,0.01797399159,0.02172358405,1.253282183e-05,0.0001097150353
22h-222@5pm-gts-8d9,34.596167,-86.979909,Restaurants and Other Eating Places,Decatur,AL,35601,806 6th Ave SE,167.0,33.0,False,174.0,US,2055.0,0.002176286805,0.002966769426,5.704060126e-05,0.0005003700675
22c-225@8f3-fv9-52k,30.689662,-88.048568,Restaurants and Other Eating Places,Mobile,AL,36602,518 Dauphin St,42.0,37.0,False,255.0,US,512.0,0.0005380052698,0.0007348562954,1.467894743e-05,0.0001278526546
zzw-222@5pm-mtn-syv,34.755622,-86.711274,Restaurants and Other Eating Places,Huntsville,AL,35806,7086 Highway 72 W,197.0,190.0,False,139.0,US,2437.0,0.007317157897,0.009045429116,7.030293352e-05,0.0006064621764
229-222@8gk-tqq-jjv,33.407572,-86.630084,Restaurants and Other Eating Places,Birmingham,AL,35242,42 Manning Pl,194.0,123.0,False,185.0,US,2417.0,0.007312028151,0.009040514003,6.988039951e-05,0.0006076407735
222-226@8gk-wwb-sbk,33.438428,-86.080184,Automotive Repair and Maintenance,Talladega,AL,35160,214 Haynes St,7713.0,3112.0,False,14886.0,US,96017.0,0.3349323675,0.347182008,0.002779540559,0.02401503321
zzw-222@8gh-vfd-68v,31.103613,-85.686845,Automotive Repair and Maintenance,Hartford,AL,36344,601 Dothan Hwy,158.0,106.0,False,881.0,US,1973.0,0.006174329825,0.007580081661,5.657069842e-05,0.00048848466
223-222@8gk-tsr-q4v,33.462981,-86.820084,Automotive Repair and Maintenance,Homewood,AL,35209,436 Green Springs Hwy,69.0,60.0,False,554.0,US,856.0,0.003055412719,0.003166997647,2.470359987e-05,0.0002130760318
223-222@8gm-ms3-789,34.274845,-86.203625,Automotive Repair and Maintenance,Albertville,AL,35950,501 Glover St,75.0,60.0,False,317.0,US,920.0,0.002712885948,0.00334628051,2.558239438e-05,0.0002301172549
zzw-222@8gk-yjp-49z,33.251704,-86.815083,Automotive Repair and Maintenance,Alabaster,AL,35007,701 1st St N,314.0,242.0,False,2039.0,US,3846.0,0.01165342372,0.01432263907,0.0001093064936,0.0009420028648
222-222@8gh-vyr-66k,31.784496,-85.953838,Death Care Services,Troy,AL,36081,707 S George Wallace Dr,46.0,46.0,False,520.0,US,568.0,0.01725335229,0.01806750976,1.569766912e-05,0.0001380335809
222-222@8gm-y2p-ysq,32.426374,-87.05648,Administration of Human Resource Programs,Selma,AL,36701,120 Executive Park Ln,117.0,108.0,False,1378.0,US,1447.0,0.8617061115,0.8617061115,4.080751491e-05,0.0003554015426
22c-222@8gm-qqp-5fz,34.591896,-86.057736,Electronic and Precision Equipment Repair and Maintenance,Scottsboro,AL,35769,450 Industrial Park Dr,448.0,261.0,True,1236.0,US,5514.0,0.06641130264,0.07288508703,0.0001583688944,0.001375933481
26f-222@5pm-mt5-435,34.697595,-86.585344,Electronic and Precision Equipment Repair and Maintenance,Huntsville,AL,35801,3322 Memorial Pkwy SW Ste 505,220.0,205.0,False,2257.0,US,2740.0,0.03284254773,0.03589718648,7.914047294e-05,0.0006821260696
229-222@8gm-zc5-st9,32.459792,-86.475476,Personal Care Services,Prattville,AL,36067,177 W Main St,363.0,337.0,False,488.0,US,4485.0,0.007297316371,0.01113606003,0.0001254695098,0.001108981678
222-22c@5pm-mv7-ct9,34.737448,-86.648433,Personal and Household Goods Repair and Maintenance,Huntsville,AL,35816,4710 University Dr NW,206.0,171.0,False,114.0,US,2540.0,0.2676716951,0.2772673602,7.311212681e-05,0.0006316405101
223-225@8gk-wc9-z4v,33.538415,-86.28489,Personal Care Services,Cropwell,AL,35054,3440 Martin St S Ste 14,173.0,37.0,False,2487.0,US,2159.0,0.003714942386,0.005627811894,6.328249312e-05,0.0005417604164
226-224@8gn-9sm-ct9,33.206074,-87.506954,Personal Care Services,Tuscaloosa,AL,35404,2337 University Blvd E,141.0,115.0,False,325.0,US,1744.0,0.002906894514,0.004425909103,4.985574724e-05,0.0004344247783
zzw-225@8f3-g6v-vs5,30.81892,-88.07051,Personal Care Services,Saraland,AL,36571,118A Saraland Blvd S,172.0,156.0,False,680.0,US,2116.0,0.003559847099,0.005414903646,5.943232307e-05,0.000524629085
225-22t@8gn-nhs-sh5,32.385417,-86.205958,Personal Care Services,Montgomery,AL,36117,1000 Eastdale Mall,363.0,218.0,False,288.0,US,4495.0,0.02547982784,0.02619194998,0.0001298006951,0.00112855488
22p-225@8gk-tvc-kpv,33.484178,-86.773481,Personal Care Services,Mountain Brk,AL,35223,2721 Cahaba Rd,425.0,347.0,False,526.0,US,5261.0,0.008981587689,0.01363763617,0.0001511133709,0.001310914009
22j-222@8f3-ftc-vvf,30.696594,-88.143225,Personal Care Services,Mobile,AL,36608,4407 Old Shell Rd Ste D,87.0,79.0,False,546.0,US,1076.0,0.0302537277,0.04212816569,3.270824767e-05,0.000276300214
228-222@8gm-tn5-pd9,33.953437,-86.039693,Personal Care Services,Rainbow City,AL,35906,117 E Grand Ave,51.0,51.0,False,96.0,US,630.0,0.003181805082,0.003630460975,1.7577977e-05,0.0001531697349
zzw-223@8gn-kkn-7yv,32.639778,-85.39556,Personal Care Services,Opelika,AL,36801,1622 Pepperell Pkwy,201.0,187.0,False,1107.0,US,2493.0,0.01322416098,0.01508438713,7.218688492e-05,0.0006243954853
22h-222@8f3-zjk-3t9,31.104398,-87.072183,Personal Care Services,Brewton,AL,36426,127 Saint Joseph Ave,603.0,440.0,False,4356.0,US,7462.0,0.03830286073,0.04379288358,0.0002130487252,0.001845506369
zzw-222@8f3-gd5-pd9,30.546119,-88.246966,Death Care Services,Theodore,AL,36582,8691 Old Pascagoula Rd,205.0,182.0,False,2641.0,US,2544.0,0.03142421246,0.0347937946,7.355357509e-05,0.0006352777656
224-222@8f3-ftk-2x5,30.652823,-88.139312,Drycleaning and Laundry Services,Mobile,AL,36609,3921 Cottage Hill Rd,103.0,89.0,False,371.0,US,1276.0,0.01923728902,0.02104245308,3.675306277e-05,0.0003190419949
